title,group_id,group_name,entity_id,matching ID,Column2,Column3
השכלה גבוהה: המכללה האקדמית עמק יזרעאל ע”ש מקס שטרן,08efa430-dc2a-400e-8d3a-5a56a2f6be23,foi-office-619,foi-office-619,,,
השכלה גבוהה: המכללה האקדמית תל חי,4227fa11-7089-48b1-9b19-42d64616d63b,foi-office-1061,foi-office-1061,,,
השכלה גבוהה: המרכז האקדמי לב,7aa9020c-90a8-4171-9e0a-da2ee72dbc0d,foi-office-1046,foi-office-1046,,,
השכלה גבוהה: המרכז האקדמי רופין,567fff86-efde-4d46-93ef-cab969eab94d,foi-office-626,foi-office-626,,,
השכלה גבוהה: מכון ויצמן למדע,ba84cc0f-3b47-45fa-904e-ad65f04cc565,foi-office-1065,foi-office-1065,,,
השכלה גבוהה: מכללה אורות ישראל,f721f309-fd6b-41f8-b2b4-31b7ed7ed72d,foi-office-1066,foi-office-1066,,,
השכלה גבוהה: עזריאלי המכללה האקדמית להנדסה ירושלים,29ef2a5e-de14-4941-9dd2-6b4d94c49a02,foi-office-1316,foi-office-1316,,,
השכלה גבוהה: שנקר - בית ספר גבוה להנדסה ולעיצוב,58144994-e1c1-48a4-839f-e96eb56b648a,foi-office-629,foi-office-629,,,
התאחדות ספורט: איגוד האופניים בישראל,efdfdce5-2c12-4a56-93b5-ffaa6da4b409,foi-office-1610,foi-office-1610,,,
התאחדות ספורט: איגוד האתלטיקה בישראל,7db38ba5-1a98-4857-90a7-6ff7f4c2c9d5,foi-office-1609,foi-office-1609,,,
התאחדות ספורט: איגוד ההתעמלות בישראל,4442b102-a99e-43de-bb51-7dc683352226,foi-office-1606,foi-office-1606,,,
התאחדות ספורט: איגוד הטניס בישראל,e7db2223-0316-4e85-b0cb-afe183bcbdd3,foi-office-1599,foi-office-1599,,,
התאחדות ספורט: איגוד הטריאתלון הישראלי,9c959237-0ab1-434b-b12c-14f37e511785,foi-office-1604,foi-office-1604,,,
התאחדות ספורט: איגוד הכדוריד,25b7ca46-b237-4778-bf23-ce5f8a9aff89,foi-office-1601,foi-office-1601,,,
התאחדות ספורט: איגוד הכדורעף בישראל,aa86316b-4deb-42a0-9a88-804f15cff438,foi-office-1598,foi-office-1598,,,
התאחדות ספורט: איגוד הסיוף בישראל,be2533e2-7e69-4797-b799-da5848209114,foi-office-1597,foi-office-1597,,,
התאחדות ספורט: איגוד השייט בישראל,9bb317ee-4050-4b78-89c0-2281727e8b64,foi-office-1590,foi-office-1590,,,
התאחדות ספורט: האיגוד הישראלי לשחמט,cb37a443-a758-471c-aa31-b6c8b55aa3a8,foi-office-1591,foi-office-1591,,,
התאחדות ספורט: ההתאגדות הישראלית לברידג',dc3f1caf-ac58-4c11-bb72-742cecbb10dc,foi-office-1608,foi-office-1608,,,
התאחדות ספורט: ההתאחדות הישראלית לטאקוונדו,c3220c88-52bb-44d2-9eee-710fbf313163,foi-office-1605,foi-office-1605,,,
התאחדות ספורט: ההתאחדות הישראלית לספורט נכים,5c979041-37ab-4a4a-935f-2b79268be1a8,foi-office-1596,foi-office-1596,,,
התאחדות ספורט: ההתאחדות הלאומית לספורט הרכיבה,5bf639c1-6774-4092-b4e1-1b6fa4008fb7,foi-office-1593,foi-office-1593,,,
התאחדות ספורט: עמותה לקידום ספורט הפוטבול האמריקאי בישראל,0790f14b-6534-46b1-8d1e-eb1c03062728,foi-office-1595,foi-office-1595,,,
ועדות מקומיות: הר עמשא,b550576f-a63e-4b7a-98f8-a555fcc8d8c4,foi-office-6025,foi-office-6025,,,
ועדים מקומיים: אבו קורינאת,efb42963-fa63-4207-9c56-eec872f7df15,foi-office-3818,foi-office-3818,,,
ועדים מקומיים: אבו תלול,62593b48-8b12-41a4-a4b9-9d36d1254b4c,foi-office-3819,foi-office-3819,,,
